version,lr_label,alpha,run,category,rows,updates,abs_delta_w_sum,sign_flips,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_avg_abs_td_x_feature,mean_activation_rate
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,last_move_context,240,8447312.0,396.9126156073012,1640.0,0.19414459889725869,4.698685399654958e-05,0.9989502380072617,0.013437475637841754,0.07857587877906703,0.30936465338505814
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,control_bomb,600,21118280.0,342.87757926850315,381.0,0.01804124199508672,1.623605612145038e-05,0.995386826371028,0.014970839474509544,0.02714888973425894,0.38379412251764755
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,landlord_specialized,540,19006452.0,223.06875696784022,111.0,0.005840122080649245,1.1736475433070844e-05,0.9981568690862817,0.011285435954166022,0.019135525320527487,0.0662285452279696
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,hand_structure,360,12670968.0,210.62154241926456,1361.0,0.10741089394275165,1.6622371899231735e-05,0.9927135621666946,0.02414186448080671,0.027877932023018883,0.6125733909161994
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,old_rank_action_counts,660,23230108.0,24.509079015894628,223.0,0.009599610987602814,1.055056610838599e-06,0.94662816436281,0.0006218669183360296,0.0017572435566504505,0.02425093110728686
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,old_rank_landlord_bottom,60,2111828.0,9.320610076643396,121.0,0.05729633284528854,4.41352708489678e-06,0.9423950598556017,0.00407224977670705,0.007415869602406921,0.21675468740929907
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,new_grouped_rank_summary,840,33015164.0,132.72143271883974,985.0,0.02983477531718455,4.02001434004204e-06,0.9962707128964023,0.009066637485048693,0.06866504811318586,0.6265244548344588
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,action_context,1080,42448068.0,119.86322416982316,4922.0,0.11595345163883548,2.823761594280879e-06,0.9787433874665967,0.007253019011452088,0.04830822451636145,0.3112327605962401
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,rank_summary,480,18865808.0,104.71052781397837,482.0,0.025548865969589007,5.550280582415467e-06,0.9952696377699046,0.013426344390130001,0.09482720399114665,0.8191453291846909
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,farmer_role_specialized,1200,47164520.0,84.03002289651627,143.0,0.0030319401109138817,1.7816363422444725e-06,0.9869605154758702,0.009052617345031959,0.03089145187923373,0.11135411072402973
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,position_identity,300,11791130.0,78.19532129011365,86.0,0.007293618168911715,6.6317071637844425e-06,0.9916959339767112,0.037018987660606704,0.11376779455568534,0.5333333333333333
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,cards_left,480,18865808.0,75.29701850689605,461.0,0.024435741103694047,3.991189696560892e-06,0.9881295870513209,0.017907071775476333,0.06778022366538336,0.955621021266093
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,other_compact_base,1260,49522746.0,57.906599909990106,282.0,0.0056943530554626354,1.1692929933649097e-06,0.9626617449150966,0.006129884572000225,0.020126365024578756,0.325517177970313
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,old_rank_last_move,480,18865808.0,56.39343634537047,124.0,0.006572737303379744,2.9891874413950606e-06,0.9845619843789458,0.010135440748764688,0.05130396985417327,0.463092359742248
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,last_move_context,240,9432904.0,36.55759222463637,113.0,0.011979343794869533,3.875539518332464e-06,0.9902909542439523,0.013987883646631534,0.06625529672456944,0.30990835692478735
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,control_bomb,600,23582260.0,31.384495464244488,539.0,0.022856163913043112,1.3308518973264007e-06,0.9669635792212775,0.004655966997573795,0.022770366786616664,0.35459114430816685
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,landlord_specialized,540,21224034.0,20.152155660868896,91.0,0.004287592076039833,9.494969552380521e-07,0.9945920131676799,0.006166336680542473,0.015990934784030433,0.0574406500222501
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,hand_structure,360,14149356.0,18.326188034851985,346.0,0.02445340975235905,1.2951959110260556e-06,0.9953160207509221,0.0030964153923028234,0.022263602772864773,0.6072797713424275
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,old_rank_action_counts,660,25940486.0,1.8938671482325986,30.0,0.0011564933671635914,7.300815984066754e-08,0.8165176024119087,0.00014114299874803618,0.001266365867246001,0.022770166089262293
trimmed,1e-2,6e-05,better_approxq_logadp_finetune_50k_time_equal_lr_1e-2,old_rank_landlord_bottom,60,2358226.0,0.5167966681934537,98.0,0.041556661660078376,2.1914637027725658e-07,0.9512350826261264,0.0002379709499775038,0.0038102706851023266,0.13600805681775777
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_total_played,900,44739585.0,869624.5032074046,1224787.0,27.375913299151076,0.019437473620003507,0.9999991391468831,0.0977268979667528,0.3243278093084768,0.6876707718408177
full,10x,0.06,better_approxq_full_50k_lr_10x,rank_summary,720,35791668.0,575520.2364085567,1286182.0,35.93523498262221,0.016079726611471605,0.9999974223019417,0.06332729691450982,0.2682292735653723,0.7929447717579962
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_unseen,900,44739585.0,562145.5220453156,693230.0,15.494779399495993,0.012564835414662778,0.999998195062205,0.08950649288069548,0.2094964014115678,0.6861391539312802
full,10x,0.06,better_approxq_full_50k_lr_10x,new_grouped_rank_summary,840,41756946.0,490672.7554216606,1301709.0,31.173472312845867,0.011750685872038166,0.9999990452093653,0.032098421315084426,0.19601636680341958,0.6324075142794149
full,10x,0.06,better_approxq_full_50k_lr_10x,action_context,1080,53687502.0,490392.8938830139,661557.0,12.32236508228675,0.009134209557431335,0.9999916917590957,0.060419235725702194,0.15236381785340156,0.28750049032173436
full,10x,0.06,better_approxq_full_50k_lr_10x,cards_left,480,23861112.0,417493.9700348853,813806.0,34.10595449197841,0.01749683627631794,0.9999996637819751,0.07910333782118378,0.29207949235135156,0.9562354169836328
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_played_landlord,900,44739585.0,376603.41399964824,349225.0,7.805727299437399,0.00841767785730798,0.9999990462058341,0.07086518428672421,0.1404877560996743,0.4270461973370644
full,10x,0.06,better_approxq_full_50k_lr_10x,position_identity,300,14913195.0,309331.03417798196,639187.0,42.8605003823795,0.02074210349814255,0.9999998041480053,0.054040449634194375,0.34670716014918246,0.5333333333333333
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_my_hand,900,44739585.0,293317.6526922751,333749.0,7.459814390321233,0.006556110269960598,0.9999957541400487,0.050365591792890664,0.10943869390888439,0.47056825234949207
full,10x,0.06,better_approxq_full_50k_lr_10x,farmer_role_specialized,1200,59652780.0,286643.17616388976,462082.0,7.7461938907122185,0.004805193926651696,0.9999993259557114,0.01997569199205248,0.08074967570228887,0.10918821277791414
full,10x,0.06,better_approxq_full_50k_lr_10x,other_compact_base,1260,62635419.0,260469.88847441055,556957.0,8.892045569296823,0.004158507959760124,0.9999868716593938,0.01576707150293088,0.0693917114473259,0.3245380294139568
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_played_landlord_down,900,44739585.0,256167.67500548565,236784.0,5.29249433136226,0.00572574991487931,0.9999956723405963,0.046226953739658974,0.09551916608754168,0.2844808918192498
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_last_move,1380,68600697.0,243972.7451271318,378824.0,5.522159636366377,0.0035564178761497396,0.9999890914977283,0.018876275568297515,0.059351009415964176,0.18147354599682206
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_played_landlord_up,900,44739585.0,236905.16344076983,216270.0,4.833974208746013,0.0052952025245824215,0.9999969639075639,0.04287590717692166,0.08832088712126088,0.2623025811839817
full,10x,0.06,better_approxq_full_50k_lr_10x,last_move_context,240,11930556.0,148977.97387273322,317706.0,26.629605527185824,0.012487093968858888,0.9999988075451309,0.04835129854185509,0.20828549882664807,0.31967235076358735
full,10x,0.06,better_approxq_full_50k_lr_10x,control_bomb,600,29826390.0,124515.36253612192,308541.0,10.344563991820667,0.004174670905065008,0.9999408360050124,0.01867364164873321,0.06963785837337905,0.3557813069442228
full,10x,0.06,better_approxq_full_50k_lr_10x,hand_structure,360,17895834.0,97615.35277807295,110913.0,6.197699419876156,0.005454641162746198,0.9999719265797801,0.05602418431420483,0.09105196819458193,0.6442555131549809
full,10x,0.06,better_approxq_full_50k_lr_10x,landlord_specialized,540,26843751.0,61774.3935727718,88195.0,3.2854946389571262,0.0023012578820587257,0.9999914896388079,0.009165535342498686,0.03773765018288071,0.06138491215664887
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_last_two_moves,1800,89479170.0,41064.580597707434,90999.0,1.0169852938957749,0.00045892893952533795,0.9999587991999795,0.0017191875692323059,0.00766492202817221,0.03188730154192058
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_landlord_bottom,960,47722224.0,39885.79874333114,46239.0,0.9689196379447864,0.0008357908622056495,0.9999567369209614,0.006588545076940743,0.01392693227307435,0.08727084870381847
full,10x,0.06,better_approxq_full_50k_lr_10x,old_rank_action_counts,1560,77548614.0,35250.51997746556,32690.0,0.42154202781754424,0.00045456028366239485,0.9999420190941521,0.0034018847937225235,0.007563066622298283,0.026333439040290656
full,1x,0.006,better_approxq_full_50k_lr_1x,old_rank_total_played,900,31262955.0,28244.18403769669,228943.0,7.323140119032254,0.0009034393593854673,0.9999908953767218,0.020435210603668128,0.150624239327942,0.7661534718625721
full,1x,0.006,better_approxq_full_50k_lr_1x,rank_summary,720,25010364.0,16167.728791405654,177379.0,7.092219849339258,0.0006464411630076897,0.9998955047647388,0.016594928799392193,0.10775717640935308,0.7789605877640873
full,1x,0.006,better_approxq_full_50k_lr_1x,new_grouped_rank_summary,840,29178758.0,13601.038487797427,175729.0,6.022497599109599,0.0004661280815241494,0.9999120626386774,0.009485951917742536,0.07769335760379138,0.6348711039341991
full,1x,0.006,better_approxq_full_50k_lr_1x,action_context,1080,37515546.0,13093.108707411664,105376.0,2.8088622247427772,0.00034900488206706797,0.9997437737137235,0.01274004327971083,0.05812475637986679,0.31154683355117385
full,1x,0.006,better_approxq_full_50k_lr_1x,old_rank_played_landlord,900,31262955.0,11975.526944472154,59566.0,1.905322129657929,0.00038305806167306176,0.9999279317534409,0.014779541497910059,0.06388345331681551,0.533353045866541
